GVP;GEOROC
Tongariro;TONGARIRO VOLCANIC CENTER - PIHANGA,TONGARIRO VOLCANIC CENTER - RED CRATER,TONGARIRO VOLCANIC CENTER - KAKARAMEA,TONGARIRO VOLCANIC CENTER - WAIMARINO,TONGARIRO VOLCANIC CENTER - OHAKUNE,TONGARIRO VOLCANIC CENTER - PUKEONAKE,TONGARIRO VOLCANIC CENTER - PUKEKAIKIORE,TONGARIRO VOLCANIC CENTER - TAMA LAKE,TONGARIRO VOLCANIC CENTER - NGAURUHOE,TONGARIRO VOLCANIC CENTER
Torfajokull;TORFAJÖKULL
Traitor's Head;MOUNT RANTOP
Trident;SOUTHWEST TRIDENT
Tristan da Cunha;TRISTAN DA CUNHA
Tromen;TROMEN
Tshibinda;TSHIBINDA (CIBINDA)
Tullu Moye;TULU MOYE,TULU MOYE-HATE UNIT
Tungnafellsjokull;TUNGNAFELLSJÖKULL
Tungurahua;TUNGURAHUA
Tupungatito;TUPUNGATITO
Tutuila;TUTUILA
Tutupaca;TUTUPACA
Upolu;UPOLU
Ushishur;USHISHIR
Vailulu'u;VAILULU^U
Vakinankaratra;ANKARATRA VOLCANIC COMPLEX
Vestmannaeyjar;VESTMANNAEYJAR ISLANDS - HEIMAEY,VESTMANNAEYJAR ISLANDS - SURTSEY
Vesuvius;VESUVIUS (SOMMA-VESUVIUS)
Villarrica;VILLARRICA
Visoke;VISOKE
Vulcano;VULCANO,LA FOSSA DI VULCANO
Vulsini;TORRE ALFINA (VULSINI VOLCANIC DISTRICT),MONTEFIASCONE (VULSINI VOLCANIC DISTRICT),LATERA (VULSINI VOLCANIC DISTRICT),VULSINI (VULSINI VOLCANIC DISTRICT)
Wallis Islands;WALLIS (UVEA) ISLANDS
Walvis Ridge at 33°S;WALVIS GUYOT PROVINCE
Wells Gray-Clearwater;ANAHIM VOLCANIC BELT-WELLS GRAY-CLEARWATER
West Mata;MATA ISLANDS
Whakaari/White Island;WHITE ISLAND
Yangudi;YANGUDI
Yasur;YASUR(=YASOWA)
Yellowstone;YELLOWSTONE PLATEAU VOLCANIC FIELD,YELLOWSTONE PLATEAU,YELLOWSTONE-SNAKE RIVER PLAIN VOLCANIC PROVINCE
Young Island;YOUNG ISLAND
Zavaritzki Caldera;ZAVARITSKII
Zhupanovsky;ZHUPANOVSKY
Zitacuaro-Valle de Bravo;ZITACUARO VOLCANIC FIELD - VALLE DE BRAVO,ZITACUARO VOLCANIC COMPLEX
Zubair Group;JEBEL ZUBAIR,ZUBAIR
Zuni-Bandera;ZUNI-BANDERA VOLCANIC FIELD
